time_s,target_kmh,meas_kmh,cmd
0.1005,60.0000,0.0000,1.0000
0.1506,60.0000,0.9000,1.0000
0.2007,60.0000,1.7932,1.0000
0.2506,60.0000,2.6798,1.0000
0.3005,60.0000,3.5597,1.0000
0.3509,60.0000,4.4330,1.0000
0.4009,60.0000,5.2998,1.0000
0.4509,60.0000,6.1600,1.0000
0.5009,60.0000,7.0138,1.0000
0.5509,60.0000,7.8612,1.0000
0.6009,60.0000,8.7022,1.0000
0.6508,60.0000,9.5370,1.0000
0.7010,60.0000,10.3655,1.0000
0.7509,60.0000,11.1877,1.0000
0.8009,60.0000,12.0038,1.0000
0.8509,60.0000,12.8138,1.0000
0.9009,60.0000,13.6177,1.0000
0.9508,60.0000,14.4155,1.0000
1.0008,60.0000,15.2074,1.0000
1.0504,60.0000,15.9934,1.0000
1.1009,60.0000,16.7734,1.0000
1.1509,60.0000,17.5476,1.0000
1.2005,60.0000,18.3160,1.0000
1.2504,60.0000,19.0786,1.0000
1.3008,60.0000,19.8355,1.0000
1.3508,60.0000,20.5868,1.0000
1.4009,60.0000,21.3324,1.0000
1.4511,60.0000,22.0724,1.0000
1.5009,60.0000,22.8068,1.0000
1.5509,60.0000,23.5358,1.0000
1.6009,60.0000,24.2593,1.0000
1.6509,60.0000,24.9773,1.0000
1.7010,60.0000,25.6900,1.0000
1.7509,60.0000,26.3973,1.0000
1.8009,60.0000,27.0993,1.0000
1.8511,60.0000,27.7961,1.0000
1.9009,60.0000,28.4876,1.0000
1.9509,60.0000,29.1740,1.0000
2.0009,60.0000,29.8552,1.0000
2.0509,60.0000,30.5313,1.0000
2.1009,60.0000,31.2023,1.0000
2.1509,60.0000,31.8683,1.0000
2.2009,60.0000,32.5292,1.0000
2.2509,60.0000,33.1853,1.0000
2.3008,60.0000,33.8364,1.0000
2.3508,60.0000,34.4826,1.0000
2.4008,60.0000,35.1240,1.0000
2.4509,60.0000,35.7606,1.0000
2.5010,60.0000,36.3924,1.0000
2.5505,60.0000,37.0194,1.0000
2.6008,60.0000,37.6418,1.0000
2.6509,60.0000,38.2595,1.0000
2.7008,60.0000,38.8725,1.0000
2.7509,60.0000,39.4810,1.0000
2.8009,60.0000,40.0849,1.0000
2.8509,60.0000,40.6842,1.0000
2.9009,60.0000,41.2791,1.0000
2.9509,60.0000,41.8695,1.0000
3.0009,60.0000,42.4555,1.0000
3.0509,60.0000,43.0371,1.0000
3.1009,60.0000,43.6143,1.0000
3.1509,60.0000,44.1872,1.0000
3.2009,60.0000,44.7558,1.0000
3.2509,60.0000,45.3201,1.0000
3.3008,60.0000,45.8802,1.0000
3.3509,60.0000,46.4361,1.0000
3.4009,60.0000,46.9878,1.0000
3.4509,60.0000,47.5354,1.0000
3.5010,60.0000,48.0789,1.0000
3.5505,60.0000,48.6183,1.0000
3.6008,60.0000,49.1537,1.0000
3.6508,60.0000,49.6850,1.0000
3.7005,60.0000,50.2124,1.0000
3.7504,60.0000,50.7358,1.0000
3.8007,60.0000,51.2553,1.0000
3.8508,60.0000,51.7709,1.0000
3.9007,60.0000,52.2826,1.0000
3.9509,60.0000,52.7905,0.9583
4.0008,60.0000,53.2570,0.9048
4.0509,60.0000,53.6719,0.8632
4.1009,60.0000,54.0463,0.8233
4.1509,60.0000,54.3819,0.7885
4.2009,60.0000,54.6837,0.7567
4.2509,60.0000,54.9546,0.7284
4.3005,60.0000,55.1980,0.7029
4.3505,60.0000,55.4167,0.6800
4.4004,60.0000,55.6131,0.6595
4.4507,60.0000,55.7895,0.6410
4.5007,60.0000,55.9480,0.6244
4.5509,60.0000,56.0904,0.6095
4.6009,60.0000,56.2182,0.5961
4.6509,60.0000,56.3331,0.5841
4.7009,60.0000,56.4363,0.5733
4.7509,60.0000,56.5290,0.5636
4.8009,60.0000,56.6122,0.5549
4.8509,60.0000,56.6870,0.5470
4.9009,60.0000,56.7542,0.5400
4.9509,60.0000,56.8145,0.5337
5.0009,60.0000,56.8687,0.5280
5.0509,60.0000,56.9174,0.5229
5.1009,60.0000,56.9612,0.5183
5.1509,60.0000,57.0005,0.5142
5.2009,60.0000,57.0357,0.5105
5.2508,60.0000,57.0674,0.5072
5.3008,60.0000,57.0959,0.5042
5.3509,60.0000,57.1215,0.5015
5.4009,60.0000,57.1445,0.4991
5.4509,60.0000,57.1651,0.4970
5.5009,60.0000,57.1837,0.4950
5.5509,60.0000,57.2003,0.4933
5.6008,60.0000,57.2153,0.4917
5.6505,60.0000,57.2287,0.4903
5.7004,60.0000,57.2408,0.4891
5.7509,60.0000,57.2516,0.4879
5.8009,60.0000,57.2614,0.4869
5.8504,60.0000,57.2701,0.4860
5.9009,60.0000,57.2780,0.4852
5.9509,60.0000,57.2850,0.4844
6.0009,60.0000,57.2914,0.4838
6.0509,60.0000,57.2971,0.4832
6.1009,60.0000,57.3022,0.4826
6.1509,60.0000,57.3068,0.4821
6.2009,60.0000,57.3109,0.4817
6.2505,60.0000,57.3146,0.4813
6.3004,60.0000,57.3180,0.4810
6.3504,60.0000,57.3209,0.4807
6.4005,60.0000,57.3236,0.4804
